,H,D,R,T,Iso,L,M,S
0,4995.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
1,4991.0,9.0,0.0,0.0,0.0,8.0,1.0,0.0
2,4980.0,20.0,0.0,0.0,0.0,18.0,2.0,0.0
3,4963.0,37.0,0.0,0.0,0.0,33.0,4.0,0.0
4,4933.0,67.0,0.0,0.0,0.0,57.0,10.0,0.0
5,4883.0,117.0,0.0,0.0,5.0,96.0,17.0,4.0
6,4804.0,196.0,0.0,0.0,9.0,161.0,29.0,6.0
7,4659.0,341.0,0.0,0.0,20.0,279.0,53.0,9.0
8,4428.0,572.0,0.0,0.0,37.0,471.0,82.0,19.0
9,4082.0,918.0,0.0,0.0,67.0,738.0,146.0,34.0
10,3559.0,1439.0,2.0,0.0,115.0,1168.0,219.0,52.0
11,2878.0,2120.0,2.0,0.0,194.0,1716.0,321.0,83.0
12,2101.0,2896.0,3.0,0.0,338.0,2338.0,432.0,126.0
13,1343.0,3646.0,10.0,1.0,561.0,2930.0,547.0,169.0
14,782.0,4193.0,23.0,2.0,893.0,3374.0,622.0,197.0
15,444.0,4513.0,40.0,3.0,1398.0,3622.0,674.0,217.0
16,257.0,4674.0,66.0,3.0,2053.0,3739.0,710.0,225.0
17,178.0,4693.0,124.0,5.0,2770.0,3753.0,714.0,226.0
18,139.0,4644.0,206.0,11.0,3440.0,3720.0,701.0,223.0
19,118.0,4532.0,332.0,18.0,3868.0,3629.0,680.0,223.0
20,110.0,4313.0,550.0,27.0,3979.0,3455.0,642.0,216.0
21,105.0,3969.0,879.0,47.0,3817.0,3175.0,593.0,201.0
22,104.0,3501.0,1326.0,69.0,3427.0,2798.0,518.0,185.0
23,100.0,2961.0,1843.0,96.0,2922.0,2356.0,449.0,156.0
24,100.0,2336.0,2432.0,132.0,2318.0,1855.0,345.0,136.0
25,100.0,1740.0,2986.0,174.0,1730.0,1375.0,261.0,104.0
26,100.0,1192.0,3509.0,199.0,1187.0,944.0,180.0,68.0
27,100.0,752.0,3920.0,228.0,748.0,591.0,111.0,50.0
28,100.0,417.0,4237.0,246.0,417.0,326.0,63.0,28.0
29,100.0,223.0,4425.0,252.0,223.0,169.0,42.0,12.0
30,100.0,118.0,4523.0,259.0,118.0,93.0,18.0,7.0
31,100.0,48.0,4591.0,261.0,48.0,37.0,8.0,3.0
32,100.0,25.0,4614.0,261.0,25.0,21.0,3.0,1.0
33,100.0,14.0,4624.0,262.0,14.0,12.0,2.0,0.0
34,100.0,8.0,4629.0,263.0,8.0,6.0,2.0,0.0
35,100.0,3.0,4633.0,264.0,3.0,3.0,0.0,0.0
36,100.0,2.0,4634.0,264.0,2.0,2.0,0.0,0.0
37,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
38,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
39,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
40,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
41,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
42,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
43,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
44,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
45,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
46,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
47,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
48,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
49,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
50,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
51,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
52,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
53,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
54,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
55,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
56,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
57,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
58,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
59,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
60,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
61,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
62,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
63,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
64,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
65,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
66,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
67,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
68,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
69,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
70,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
71,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
72,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
73,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
74,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
75,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
76,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
77,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
78,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
79,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
80,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
81,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
82,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
83,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
84,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
85,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
86,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
87,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
88,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
89,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
90,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
91,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
92,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
93,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
94,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
95,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
96,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
97,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
98,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
99,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
100,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
101,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
102,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
103,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
104,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
105,100.0,0.0,4636.0,264.0,0.0,0.0,0.0,0.0
