,days,H,D,R,T,Iso,L,M,S
0,0,4990.0,10.0,0.0,0.0,0.0,9.0,0.0,1.0
1,1,4969.0,31.0,0.0,0.0,0.0,23.0,6.0,2.0
2,2,4912.0,88.0,0.0,0.0,0.0,67.0,16.0,5.0
3,3,4740.0,260.0,0.0,0.0,0.0,210.0,40.0,10.0
4,4,4239.0,761.0,0.0,0.0,0.0,607.0,119.0,35.0
5,5,3065.0,1935.0,0.0,0.0,10.0,1537.0,297.0,101.0
6,6,1375.0,3625.0,0.0,0.0,31.0,2902.0,549.0,174.0
7,7,257.0,4743.0,0.0,0.0,88.0,3799.0,712.0,232.0
8,8,28.0,4972.0,0.0,0.0,260.0,3979.0,752.0,241.0
9,9,3.0,4997.0,0.0,0.0,761.0,4000.0,755.0,242.0
10,10,1.0,4997.0,1.0,1.0,1933.0,4000.0,756.0,241.0
11,11,0.0,4994.0,5.0,1.0,3619.0,3997.0,756.0,241.0
12,12,0.0,4980.0,18.0,2.0,4723.0,3987.0,753.0,240.0
13,13,0.0,4937.0,61.0,2.0,4909.0,3954.0,744.0,239.0
14,14,0.0,4812.0,184.0,4.0,4809.0,3855.0,722.0,235.0
15,15,0.0,4474.0,514.0,12.0,4473.0,3587.0,666.0,221.0
16,16,0.0,3856.0,1115.0,29.0,3856.0,3083.0,575.0,198.0
17,17,0.0,3059.0,1876.0,65.0,3059.0,2462.0,447.0,150.0
18,18,0.0,2284.0,2628.0,88.0,2284.0,1829.0,345.0,110.0
19,19,0.0,1506.0,3374.0,120.0,1506.0,1199.0,241.0,66.0
20,20,0.0,817.0,4045.0,138.0,817.0,649.0,128.0,40.0
21,21,0.0,292.0,4555.0,153.0,292.0,233.0,44.0,15.0
22,22,0.0,49.0,4788.0,163.0,49.0,44.0,5.0,0.0
23,23,0.0,4.0,4833.0,163.0,4.0,4.0,0.0,0.0
24,24,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4837.0,163.0,0.0,0.0,0.0,0.0
